text,created_at,tweet_id,user_profile_name,username,user_id,user_location,user_url,user_desc,user_verified,user_followers_count,user_friend_counts,user_favourites_count,user_statuses_count,user_created_at,user_profile_image_url
Nyari vaksin susah jg. Ada info vaksin jogja buat masyarakat umum &gt;18th yg udah buka ga ya?,2021-07-07 06:10:04,1412655133100437507,올까 💛,eunhasu95s,933407296096411648,은하수✨,,"95's / 구오즈 | 너는 나의 은하수, @bts_twt",False,177,264,8091,27414,2017-11-22 18:50:16,https://pbs.twimg.com/profile_images/1408382560460148739/_QpZwpqz_normal.jpg
@yasirnurpras_ @IniSleman @merapi_uncover @upil_jaran67 @Jogja_Uncover @JogjaUpdate @infojogja tidak melakukan perj… https://t.co/kE6dGr7CnZ,2021-07-07 05:58:54,1412652322707050496,martabak.,cangcoklat,2496331819,,https://t.co/2snGlAPGAH,"yang tenang, ada Allah.",False,600,457,2100,3426,2014-05-15 13:02:00,https://pbs.twimg.com/profile_images/1376181640716689412/CB5aUwdd_normal.jpg
@yasirnurpras_ @IniSleman @merapi_uncover @upil_jaran67 @Jogja_Uncover @JogjaUpdate @infojogja Komponen vaksin tsb… https://t.co/cJsKgggD4s,2021-07-07 05:57:58,1412652091152109568,Anton,antonartan,105796242,YOGYAKARTA.ID,,"I WAS BORN ON SATURDAY UNDER THE ASTROLOGICAL SIGN C.A.N.C.E.R, AND I RULED BY THE SUN",False,204,205,32,4176,2010-01-17 14:17:54,https://pbs.twimg.com/profile_images/1248979692213792768/Jo4aXove_normal.jpg
@yasirnurpras_ @IniSleman @merapi_uncover @upil_jaran67 @Jogja_Uncover @JogjaUpdate @infojogja Vaksin tidak akan me… https://t.co/zbCrGVOp1v,2021-07-07 05:57:15,1412651910318854144,Anton,antonartan,105796242,YOGYAKARTA.ID,,"I WAS BORN ON SATURDAY UNDER THE ASTROLOGICAL SIGN C.A.N.C.E.R, AND I RULED BY THE SUN",False,204,205,32,4176,2010-01-17 14:17:54,https://pbs.twimg.com/profile_images/1248979692213792768/Jo4aXove_normal.jpg
"RT @wisnu_prasetya: Yang belum vaksin di Jogja, silakan daftar di GMC UGM... https://t.co/dgywJeaM57",2021-07-07 05:50:30,1412650210535239681,al.,alficacintiaa,1744409634,"Sleman, Indonesia",https://t.co/I353TOXITf,Apothecary part of Dinas Kesehatan Sleman. Allahumma sholli ala sayyidina muhammad. AC's❤,False,950,671,2105,32562,2013-09-07 09:43:39,https://pbs.twimg.com/profile_images/1406427133962948611/7dasjVkE_normal.jpg
"RT @MafiaWasit: Dah lupakan tempat belanjanya Mahasiswa Jogja, si Morata Kampus.

Mari bergeser ke SUrabaya yang saat ini SUDah boleh Nyeta…",2021-07-07 05:49:38,1412649993920401412,Direktur Teknik AC Milan Wilayah Jawa timur,reporbener,417683800,"Tangerang,Banten",,jalanin ajedah,False,278,647,36797,13320,2011-11-21 07:41:41,https://pbs.twimg.com/profile_images/1406215561143406598/Btin-dpk_normal.jpg
w nyesel bgt dah gak vaksin waktu sblm ke jogja arghhhhh,2021-07-07 05:49:35,1412649980431503361,🐢,turtleeonly,1362536805707382785,,,white tea green tea oolong tea black tea and teatong,False,15,122,679,7595,2021-02-18 22:57:52,https://pbs.twimg.com/profile_images/1396273757128323073/U639fMlL_normal.jpg
RT @PatubMbel: Yang di Jogja ayo vaksin. Vaksinmu utk org lain. Org lain vaksin utk kamu. Kasih-mengasihi. Lindung-melindungi. Donga-didong…,2021-07-07 05:46:03,1412649092203700228,jnah,hanyanobody,1068246366076334080,,,We pass the time of day to forget how time passes,False,29,185,6878,2979,2018-11-29 20:52:35,https://pbs.twimg.com/profile_images/1312994463514468352/rr8OZilf_normal.jpg
"RT @MafiaWasit: Dah lupakan tempat belanjanya Mahasiswa Jogja, si Morata Kampus.

Mari bergeser ke SUrabaya yang saat ini SUDah boleh Nyeta…",2021-07-07 05:43:53,1412648546658963462,Murid Chef Tretan,khoirulwarisin_,3499408878,"Purwodadi, Jawa Tengah",https://t.co/8gwHkFpG00,"Twitter hanya sementara, akhirat selamanya.",False,92,40,747,60407,2015-09-09 02:27:12,https://pbs.twimg.com/profile_images/1286963301713235968/p-LFjm03_normal.jpg
"RT @MafiaWasit: Dah lupakan tempat belanjanya Mahasiswa Jogja, si Morata Kampus.

Mari bergeser ke SUrabaya yang saat ini SUDah boleh Nyeta…",2021-07-07 05:40:27,1412647682795917313,HAS,harisas_,250110423,NGK - MN - SUB - JKT,,"respice, adspice, prospice | IR UA '11 | SATU NYALI WANI | #YNWA (personal tweet only)",False,394,483,13961,34676,2011-02-10 12:57:24,https://pbs.twimg.com/profile_images/1006195037082869760/qitYanAF_normal.jpg
"RT @MafiaWasit: Dah lupakan tempat belanjanya Mahasiswa Jogja, si Morata Kampus.

Mari bergeser ke SUrabaya yang saat ini SUDah boleh Nyeta…",2021-07-07 05:36:14,1412646619741265920,Achmad khaerulloh,akhaerullohh,137206018,"DKI Jakarta, Indonesia",,We're just two lost souls swimming in a fish bowl.,False,262,359,2652,32586,2010-04-26 03:31:15,https://pbs.twimg.com/profile_images/1411700965586079744/WzSKl9iI_normal.jpg
"RT @wisnu_prasetya: Yang belum vaksin di Jogja, silakan daftar di GMC UGM... https://t.co/dgywJeaM57",2021-07-07 05:31:49,1412645507432804352,xxx,destydwiii,236851400,Everywhere,,,False,475,331,1898,9623,2011-01-11 14:27:38,https://pbs.twimg.com/profile_images/1411548934200205317/aPTKeMH7_normal.jpg
"RT @yasirnurpras_: info dong, yang habis vaksin trus melakukan perjalanan dan harus swab antigen gimana hasilnya? 
bantu jawab dong 

@mera…",2021-07-07 05:31:42,1412645480509575169,IG : @ini.sleman,IniSleman,593344156,"Sleman, Yogyakarta, ID",https://t.co/bfyYbQYJwb,"Akun Unofficial Kabupaten Sleman, DIY | Share Semua Tentang Sleman (Berita, Event, Lowker, Foto) | Instagram : ini.sleman |  Cek #CeritaSejarah di Favorites |",False,98307,105,524,89643,2012-05-29 04:09:56,https://pbs.twimg.com/profile_images/1333204528041132033/pe8p1t_q_normal.jpg
